planet,method,year,number,radius,mass,facility
11 Com b,Radial Velocity,2007,1,NA,6165.6,Xinglong Station
11 UMi b,Radial Velocity,2009,1,NA,4684.8142,Thueringer Landessternwarte Tautenburg
14 And b,Radial Velocity,2008,1,NA,1525.5,Okayama Astrophysical Observatory
14 Her b,Radial Velocity,2002,1,NA,1481.0878,W. M. Keck Observatory
16 Cyg B b,Radial Velocity,1996,1,NA,565.7374,Multiple Observatories
18 Del b,Radial Velocity,2008,1,NA,3273.5,Okayama Astrophysical Observatory
1RXS J160929.1-210524 b,Imaging,2008,1,NA,3000,Gemini Observatory
24 Boo b,Radial Velocity,2018,1,NA,289.2253,Okayama Astrophysical Observatory
24 Sex b,Radial Velocity,2010,2,NA,632.46,Lick Observatory
24 Sex c,Radial Velocity,2010,2,NA,273.32,Lick Observatory
2MASS J01033563-5515561 AB b,Imaging,2013,1,NA,4131.79,Paranal Observatory
2MASS J01225093-2439505 b,Imaging,2013,1,NA,7786.5,W. M. Keck Observatory
2MASS J02192210-3925225 b,Imaging,2015,1,16.141,4417.837,Cerro Tololo Inter-American Observatory
2MASS J04414489+2301513 b,Imaging,2010,1,NA,2383.6,Hubble Space Telescope
2MASS J12073346-3932539 b,Imaging,2004,1,NA,1271,Paranal Observatory
2MASS J19383260+4603591 b,Eclipse Timing Variations,2015,1,NA,603.877,Kepler
2MASS J21402931+1625183 A b,Imaging,2009,1,10.31,6657.48,W. M. Keck Observatory
2MASS J22362452+4751425 b,Imaging,2016,1,NA,3972.875,W. M. Keck Observatory
30 Ari B b,Radial Velocity,2009,1,NA,4392.4106,Thueringer Landessternwarte Tautenburg
4 UMa b,Radial Velocity,2006,1,NA,2256.5,Thueringer Landessternwarte Tautenburg
42 Dra b,Radial Velocity,2008,1,NA,1233.13,Thueringer Landessternwarte Tautenburg
47 UMa b,Radial Velocity,1996,3,NA,804.08,Lick Observatory
47 UMa c,Radial Velocity,2001,3,NA,171.621,Lick Observatory
47 UMa d,Radial Velocity,2009,3,NA,521.22,Lick Observatory
51 Eri b,Imaging,2015,1,NA,NA,Gemini Observatory
51 Peg b,Radial Velocity,1995,1,NA,150.009,Haute-Provence Observatory
55 Cnc b,Radial Velocity,1996,5,NA,263.9785,Lick Observatory
55 Cnc c,Radial Velocity,2004,5,NA,54.4738,McDonald Observatory
55 Cnc d,Radial Velocity,2002,5,NA,1232.493,Lick Observatory
55 Cnc e,Radial Velocity,2004,5,1.91,8.08,McDonald Observatory
55 Cnc f,Radial Velocity,2007,5,NA,44.812,Multiple Observatories
6 Lyn b,Radial Velocity,2008,1,NA,638.8383,Okayama Astrophysical Observatory
61 Vir b,Radial Velocity,2009,3,NA,5.1,Multiple Observatories
61 Vir c,Radial Velocity,2009,3,NA,18.2,Multiple Observatories
61 Vir d,Radial Velocity,2009,3,NA,22.9,Multiple Observatories
7 CMa b,Radial Velocity,2011,2,NA,587.9855,Anglo-Australian Telescope
7 CMa c,Radial Velocity,2019,2,NA,276.5121,Multiple Observatories
70 Vir b,Radial Velocity,1996,1,NA,2357.02728,Lick Observatory
