OBJECTID,break_date,pipe_size,pipe_depth_ft,soil_type,repair_time_minutes
1,2007/11/01 00:00:00+00,NA,6.5,NA,NA
3,2007/11/02 00:00:00+00,NA,6,NA,NA
4,2007/11/05 00:00:00+00,NA,4,NA,NA
5,2007/11/07 00:00:00+00,NA,6.17,NA,NA
7,2007/11/09 00:00:00+00,NA,4,NA,NA
8,2007/11/09 00:00:00+00,NA,5,NA,NA
9,2007/11/13 00:00:00+00,NA,6,NA,NA
11,2007/11/14 00:00:00+00,NA,9.17,NA,NA
12,2007/11/16 00:00:00+00,NA,5.25,NA,NA
14,2007/11/20 00:00:00+00,NA,7,NA,NA
15,2007/11/22 00:00:00+00,NA,5.17,NA,NA
16,2007/11/24 00:00:00+00,NA,7,NA,NA
17,2007/11/24 00:00:00+00,NA,5.67,NA,NA
18,2007/11/24 00:00:00+00,NA,5.8,NA,NA
21,2007/11/27 00:00:00+00,NA,5.9,NA,NA
22,2007/12/01 00:00:00+00,NA,6.5,NA,NA
23,2007/12/04 00:00:00+00,NA,7,NA,NA
25,2007/12/11 00:00:00+00,NA,6,NA,NA
26,2007/12/11 00:00:00+00,NA,6,NA,NA
27,2007/12/13 00:00:00+00,NA,7,NA,NA
29,2007/12/12 00:00:00+00,NA,6,NA,NA
30,2007/12/14 00:00:00+00,NA,5,NA,NA
31,2007/12/15 00:00:00+00,NA,5.17,NA,NA
32,2007/12/16 00:00:00+00,NA,7,NA,NA
33,2007/12/16 00:00:00+00,NA,6,NA,NA
35,2007/12/05 00:00:00+00,NA,4.67,NA,NA
36,2007/12/06 00:00:00+00,NA,6,NA,NA
37,2007/12/07 00:00:00+00,NA,6.5,NA,NA
38,2007/12/09 00:00:00+00,NA,6,NA,NA
39,2007/12/09 00:00:00+00,NA,5.83,NA,NA
40,2007/12/10 00:00:00+00,NA,6,NA,NA
41,2007/12/08 00:00:00+00,NA,7,NA,NA
42,2007/12/10 00:00:00+00,NA,6,NA,NA
43,2007/12/17 00:00:00+00,NA,5.5,NA,NA
44,2007/12/17 00:00:00+00,NA,6,NA,NA
46,2007/12/17 00:00:00+00,NA,6.42,NA,NA
48,2007/12/18 00:00:00+00,NA,6,NA,NA
50,2007/12/23 00:00:00+00,NA,5.5,NA,NA
51,2007/12/23 00:00:00+00,NA,5.33,NA,NA
52,2007/12/23 00:00:00+00,NA,6,NA,NA
53,2007/12/23 00:00:00+00,NA,6,NA,NA
55,2007/12/23 00:00:00+00,NA,5.5,NA,NA
56,2007/12/23 00:00:00+00,NA,6.5,NA,NA
57,2007/12/23 00:00:00+00,NA,6,NA,NA
58,2007/12/24 00:00:00+00,NA,5.5,NA,NA
59,2007/12/24 00:00:00+00,NA,5.17,NA,NA
60,2007/12/25 00:00:00+00,NA,6,NA,NA
61,2007/12/25 00:00:00+00,NA,4.42,NA,NA
62,2007/12/26 00:00:00+00,NA,5.67,NA,NA
64,2007/12/23 00:00:00+00,NA,6,NA,NA
65,2007/12/28 00:00:00+00,NA,7,NA,NA
68,2007/12/29 00:00:00+00,NA,5.67,NA,NA
69,2007/12/29 00:00:00+00,NA,6,NA,NA
70,2007/12/29 00:00:00+00,NA,6,NA,NA
71,2007/12/30 00:00:00+00,NA,7,NA,NA
73,2008/01/06 00:00:00+00,6,6.5,Clay,90
74,2008/01/05 00:00:00+00,6,7,Clay,120
75,2008/01/04 00:00:00+00,6,5.5,Clay,70
76,2008/01/04 00:00:00+00,10,5.5,Sandy glacial deposits,120
77,2008/01/03 00:00:00+00,10,6,Clay,60
78,2008/01/03 00:00:00+00,6,6.5,"Sand, rock",90
79,2008/01/03 00:00:00+00,6,6.17,"clay, rock",150
80,2008/01/02 00:00:00+00,6,6.17,Clay,135
81,2008/01/02 00:00:00+00,6,6,Clay,90
82,2008/01/01 00:00:00+00,6,6,Stone,240
83,2008/01/01 00:00:00+00,6,5,"Sand, rock",90
84,2008/01/10 00:00:00+00,6,6.5,Clay,90
85,2008/01/10 00:00:00+00,6,5.33,Clay,90
87,2008/01/11 00:00:00+00,6,5.5,Clay,60
90,2008/01/09 00:00:00+00,6,5.5,Clay,120
91,2008/01/09 00:00:00+00,8,4.5,Clay,30
92,2008/01/09 00:00:00+00,6,6,Clay,45
93,2008/01/09 00:00:00+00,6,6.33,Clay,60
94,2008/01/09 00:00:00+00,6,5.75,"Clay, rock",150
95,2008/01/11 00:00:00+00,6,6,Clay,60
96,2008/01/12 00:00:00+00,6,6,"Clay, rock",120
97,2008/01/12 00:00:00+00,6,6,"Clay, rock",60
99,2008/01/13 00:00:00+00,6,6,"Clay, gravel",60
100,2008/01/14 00:00:00+00,6,5.5,Clay,120
102,2008/01/15 00:00:00+00,6,6,"Gravel, clay",90
103,2008/02/23 00:00:00+00,6,6,Clay,90
104,2008/02/21 00:00:00+00,6,6,Clay,120
105,2008/02/21 00:00:00+00,6,5.67,"Clay, rock",120
107,2008/02/20 00:00:00+00,6,6.33,Clay,120
108,2008/02/19 00:00:00+00,6,6.5,Clay,1260
109,2008/02/27 00:00:00+00,6,5.67,Clay,240
110,2008/02/26 00:00:00+00,6,5.5,Clay,120
111,2008/01/16 00:00:00+00,10,7,Clay,810
113,2008/02/29 00:00:00+00,6,5,Clay,120
114,2008/03/02 00:00:00+00,6,7,Clay,120
116,2008/03/04 00:00:00+00,6,7.5,Clay,105
117,2008/02/21 00:00:00+00,6,NA,Clay,90
119,2008/03/06 00:00:00+00,6,6.08,Clay,60
120,2008/03/06 00:00:00+00,6,6,Clay,90
121,2008/03/06 00:00:00+00,6,5.5,"Sand, clay",300
122,2008/03/05 00:00:00+00,6,8,Clay,150
123,2008/03/05 00:00:00+00,8,5.5,Clay,60
124,2008/03/05 00:00:00+00,8,5.8,Clay,90
125,2008/03/05 00:00:00+00,6,6.3,"Clay, sand",300
127,2008/03/16 00:00:00+00,8,6,"Clay, rock",180
129,2008/03/15 00:00:00+00,10,5.5,Clay,60
130,2008/03/15 00:00:00+00,6,5.5,Clay,120
131,2008/03/14 00:00:00+00,12,8.5,Sand,480
133,2008/03/21 00:00:00+00,6,7.5,Clay,90
134,2008/03/20 00:00:00+00,6,6.33,Clay,60
135,2008/03/20 00:00:00+00,10,6.5,"Clay, rock",90
137,2008/03/25 00:00:00+00,6,5.5,"Clay, sand, rock",60
138,2008/03/29 00:00:00+00,6,5.63,"Clay, rock",65
139,2008/03/30 00:00:00+00,8,5.5,Clay,210
143,2008/03/31 00:00:00+00,6,6.63,"Rock, clay",150
144,2008/04/08 00:00:00+00,6,5.5,"Clay, rocks",420
145,2008/04/11 00:00:00+00,6,6.17,"Clay, rock",1200
146,2008/04/15 00:00:00+00,6,5.75,"Sand, rock",180
147,2008/04/19 00:00:00+00,12,5.17,"Sand, rock",180
148,2008/04/18 00:00:00+00,6,5.5,Clay,870
149,2008/04/28 00:00:00+00,6,7,Rock,150
150,1970/01/01 00:00:00+00,NA,NA,NA,NA
151,1970/01/01 00:00:00+00,NA,NA,NA,NA
152,1970/01/01 00:00:00+00,NA,NA,NA,NA
153,1970/01/01 00:00:00+00,NA,NA,NA,NA
154,1970/01/01 00:00:00+00,NA,NA,NA,NA
155,1970/01/01 00:00:00+00,NA,NA,NA,NA
156,1970/01/01 00:00:00+00,NA,NA,NA,NA
158,1970/01/01 00:00:00+00,NA,NA,NA,NA
159,1970/01/01 00:00:00+00,NA,NA,NA,NA
160,1970/01/01 00:00:00+00,NA,NA,NA,NA
161,1970/01/01 00:00:00+00,NA,NA,NA,NA
